word,count,date
trump,110,2023-05
debt,102,2023-05
biden,89,2023-05
york,82,2023-05
ukraine,76,2023-05
desantis,62,2023-05
2023,60,2023-05
do,59,2023-05
russia,55,2023-05
china,52,2023-05
limit,50,2023-05
city,50,2023-05
house,50,2023-05
back,50,2023-05
deal,49,2023-05
election,48,2023-05
briefing,46,2023-05
first,46,2023-05
case,46,2023-05
they,45,2023-05
time,44,2023-05
court,44,2023-05
war,44,2023-05
spelling,41,2023-05
border,41,2023-05
million,39,2023-05
man,39,2023-05
dead,38,2023-05
e,37,2023-05
succession,36,2023-05
week,36,2023-05
years,36,2023-05
police,36,2023-05
russian,35,2023-05
texas,35,2023-05
state,35,2023-05
world,34,2023-05
forum,33,2023-05
king,33,2023-05
american,32,2023-05
coronation,32,2023-05
b,32,2023-05
quotation,31,2023-05
wordle,31,2023-05
america,31,2023-05
california,31,2023-05
g,31,2023-05
corrections,30,2023-05
people,30,2023-05
still,30,2023-05
art,29,2023-05
ceiling,29,2023-05
supreme,29,2023-05
plan,29,2023-05
school,28,2023-05
way,28,2023-05
law,28,2023-05
long,28,2023-05
help,28,2023-05
two,28,2023-05
most,28,2023-05
women,28,2023-05
season,27,2023-05
should,27,2023-05
end,27,2023-05
mother,27,2023-05
black,26,2023-05
fight,26,2023-05
family,25,2023-05
change,25,2023-05
bakhmut,25,2023-05
climate,25,2023-05
power,25,2023-05
fire,25,2023-05
judge,25,2023-05
covid,25,2023-05
rules,25,2023-05
top,25,2023-05
than,25,2023-05
against,25,2023-05
ban,25,2023-05
white,24,2023-05
where,24,2023-05
another,24,2023-05
wants,24,2023-05
killing,24,2023-05
inside,24,2023-05
children,24,2023-05
death,24,2023-05
these,24,2023-05
turkey,24,2023-05
coming,23,2023-05
primary,23,2023-05
run,23,2023-05
high,23,2023-05
made,23,2023-05
next,23,2023-05
them,23,2023-05
star,23,2023-05
bill,23,2023-05
migrants,23,2023-05
florida,22,2023-05
charles,22,2023-05
emergency,22,2023-05
finds,22,2023-05
history,22,2023-05
last,22,2023-05
media,22,2023-05
abortion,22,2023-05
town,22,2023-05
leaders,22,2023-05
even,22,2023-05
000,21,2023-05
tv,21,2023-05
charged,21,2023-05
crisis,21,2023-05
republicans,21,2023-05
times,21,2023-05
shows,21,2023-05
own,21,2023-05
would,21,2023-05
health,21,2023-05
want,21,2023-05
find,21,2023-05
military,21,2023-05
cannes,21,2023-05
news,20,2023-05
book,20,2023-05
stories,20,2023-05
homes,20,2023-05
won,20,2023-05
work,20,2023-05
behind,20,2023-05
race,20,2023-05
before,20,2023-05
met,19,2023-05
gets,19,2023-05
mayor,19,2023-05
mccarthy,19,2023-05
hard,19,2023-05
future,19,2023-05
sudan,19,2023-05
south,19,2023-05
little,19,2023-05
trial,19,2023-05
does,19,2023-05
weekend,19,2023-05
summer,19,2023-05
president,18,2023-05
bank,18,2023-05
down,18,2023-05
billion,18,2023-05
strike,18,2023-05
age,18,2023-05
migrant,18,2023-05
many,18,2023-05
george,18,2023-05
attack,18,2023-05
pandemic,18,2023-05
meet,18,2023-05
much,18,2023-05
faces,18,2023-05
ron,18,2023-05
watch,17,2023-05
care,17,2023-05
amid,17,2023-05
m,17,2023-05
mexico,17,2023-05
fed,17,2023-05
writers,17,2023-05
2024,17,2023-05
social,17,2023-05
default,17,2023-05
look,17,2023-05
secret,17,2023-05
pay,17,2023-05
twitter,17,2023-05
santos,17,2023-05
episode,16,2023-05
takes,16,2023-05
talks,16,2023-05
music,16,2023-05
books,16,2023-05
woman,16,2023-05
carroll,16,2023-05
night,16,2023-05
read,16,2023-05
presidential,16,2023-05
adams,16,2023-05
hit,16,2023-05
away,16,2023-05
became,16,2023-05
makes,16,2023-05
three,16,2023-05
10,16,2023-05
hall,16,2023-05
father,16,2023-05
through,16,2023-05
leader,16,2023-05
goes,16,2023-05
