word,count,date
israel,276,2023-10
gaza,186,2023-10
war,131,2023-10
hamas,122,2023-10
trump,118,2023-10
biden,103,2023-10
house,76,2023-10
week,72,2023-10
york,69,2023-10
ukraine,65,2023-10
do,64,2023-10
speaker,61,2023-10
2023,53,2023-10
they,53,2023-10
israeli,53,2023-10
through,48,2023-10
attack,48,2023-10
world,47,2023-10
city,46,2023-10
oct,44,2023-10
briefing,44,2023-10
time,43,2023-10
republicans,43,2023-10
aid,42,2023-10
china,41,2023-10
trial,40,2023-10
american,40,2023-10
first,39,2023-10
back,38,2023-10
mccarthy,38,2023-10
case,37,2023-10
deal,37,2023-10
spelling,36,2023-10
two,36,2023-10
g,36,2023-10
art,35,2023-10
election,35,2023-10
california,34,2023-10
forum,33,2023-10
women,33,2023-10
should,32,2023-10
playoffs,32,2023-10
quotation,31,2023-10
wordle,31,2023-10
court,31,2023-10
killed,31,2023-10
years,31,2023-10
support,30,2023-10
dead,30,2023-10
these,30,2023-10
border,30,2023-10
hospital,30,2023-10
corrections,29,2023-10
people,29,2023-10
than,29,2023-10
change,29,2023-10
republican,29,2023-10
death,29,2023-10
fire,28,2023-10
fried,28,2023-10
000,28,2023-10
climate,27,2023-10
bankman,27,2023-10
judge,27,2023-10
million,27,2023-10
children,26,2023-10
under,26,2023-10
way,26,2023-10
long,26,2023-10
maine,26,2023-10
fight,25,2023-10
going,25,2023-10
down,25,2023-10
sam,25,2023-10
officials,25,2023-10
top,25,2023-10
strike,25,2023-10
still,25,2023-10
police,24,2023-10
strikes,24,2023-10
fall,24,2023-10
family,24,2023-10
crisis,24,2023-10
me,24,2023-10
taylor,23,2023-10
tv,23,2023-10
attacks,23,2023-10
where,23,2023-10
america,23,2023-10
gets,23,2023-10
johnson,23,2023-10
does,22,2023-10
them,22,2023-10
most,22,2023-10
supreme,22,2023-10
other,22,2023-10
read,22,2023-10
mother,22,2023-10
homes,22,2023-10
next,22,2023-10
state,22,2023-10
book,22,2023-10
night,22,2023-10
middle,22,2023-10
need,22,2023-10
calls,22,2023-10
future,22,2023-10
jordan,22,2023-10
man,22,2023-10
russia,21,2023-10
president,21,2023-10
against,21,2023-10
season,21,2023-10
mexico,21,2023-10
run,21,2023-10
without,21,2023-10
face,21,2023-10
media,21,2023-10
palestinian,21,2023-10
workers,20,2023-10
won,20,2023-10
killing,20,2023-10
many,20,2023-10
look,20,2023-10
real,20,2023-10
news,20,2023-10
east,20,2023-10
federal,20,2023-10
work,20,2023-10
race,20,2023-10
food,20,2023-10
history,20,2023-10
hostages,20,2023-10
must,20,2023-10
invasion,20,2023-10
americans,19,2023-10
inside,19,2023-10
leader,19,2023-10
young,19,2023-10
group,19,2023-10
music,19,2023-10
five,19,2023-10
vote,19,2023-10
star,19,2023-10
violence,19,2023-10
human,19,2023-10
billion,19,2023-10
another,19,2023-10
past,19,2023-10
mike,19,2023-10
order,19,2023-10
russian,18,2023-10
woman,18,2023-10
nobel,18,2023-10
stop,18,2023-10
near,18,2023-10
fraud,18,2023-10
black,18,2023-10
made,18,2023-10
find,18,2023-10
10,18,2023-10
iran,18,2023-10
shooting,18,2023-10
ever,18,2023-10
halloween,18,2023-10
go,18,2023-10
connections,18,2023-10
swift,17,2023-10
left,17,2023-10
desantis,17,2023-10
money,17,2023-10
west,17,2023-10
takes,17,2023-10
books,17,2023-10
south,17,2023-10
shows,17,2023-10
museum,17,2023-10
y,17,2023-10
help,17,2023-10
found,17,2023-10
isn,17,2023-10
charged,17,2023-10
amid,17,2023-10
georgia,17,2023-10
movies,17,2023-10
social,17,2023-10
blast,17,2023-10
senate,16,2023-10
party,16,2023-10
moves,16,2023-10
set,16,2023-10
own,16,2023-10
being,16,2023-10
security,16,2023-10
b,16,2023-10
guilty,16,2023-10
former,16,2023-10
want,16,2023-10
global,16,2023-10
getting,16,2023-10
