word,count,date
biden,104,2023-02
ukraine,89,2023-02
china,75,2023-02
war,68,2023-02
york,65,2023-02
they,65,2023-02
briefing,59,2023-02
do,57,2023-02
world,55,2023-02
2023,53,2023-02
russia,51,2023-02
trump,49,2023-02
state,45,2023-02
down,43,2023-02
time,42,2023-02
balloon,41,2023-02
super,37,2023-02
city,37,2023-02
black,36,2023-02
bowl,35,2023-02
turkey,35,2023-02
feb,34,2023-02
g,33,2023-02
week,33,2023-02
spelling,32,2023-02
house,32,2023-02
first,31,2023-02
police,31,2023-02
two,30,2023-02
top,30,2023-02
man,30,2023-02
us,30,2023-02
years,29,2023-02
last,29,2023-02
california,29,2023-02
want,29,2023-02
russian,29,2023-02
quake,29,2023-02
election,29,2023-02
forum,28,2023-02
women,28,2023-02
court,28,2023-02
quotation,27,2023-02
season,27,2023-02
fight,27,2023-02
should,27,2023-02
where,27,2023-02
back,27,2023-02
corrections,26,2023-02
still,26,2023-02
000,26,2023-02
union,26,2023-02
america,26,2023-02
spy,25,2023-02
american,24,2023-02
judge,24,2023-02
many,24,2023-02
earthquake,24,2023-02
chinese,23,2023-02
high,23,2023-02
against,23,2023-02
these,23,2023-02
e,23,2023-02
officials,23,2023-02
president,22,2023-02
crisis,22,2023-02
than,22,2023-02
death,22,2023-02
star,22,2023-02
dead,22,2023-02
party,22,2023-02
million,21,2023-02
b,21,2023-02
covid,21,2023-02
history,21,2023-02
art,21,2023-02
case,21,2023-02
own,21,2023-02
long,21,2023-02
ohio,21,2023-02
west,21,2023-02
found,20,2023-02
next,20,2023-02
homes,20,2023-02
plan,20,2023-02
books,20,2023-02
people,20,2023-02
even,20,2023-02
before,20,2023-02
desantis,19,2023-02
school,19,2023-02
money,19,2023-02
billion,19,2023-02
find,19,2023-02
way,19,2023-02
m,19,2023-02
evening,19,2023-02
shot,19,2023-02
social,19,2023-02
syria,19,2023-02
watch,18,2023-02
lost,18,2023-02
made,18,2023-02
another,18,2023-02
news,18,2023-02
putin,18,2023-02
night,18,2023-02
family,18,2023-02
supreme,18,2023-02
college,17,2023-02
inside,17,2023-02
me,17,2023-02
report,17,2023-02
go,17,2023-02
woman,17,2023-02
most,17,2023-02
work,17,2023-02
former,17,2023-02
would,17,2023-02
security,17,2023-02
won,16,2023-02
end,16,2023-02
help,16,2023-02
fed,16,2023-02
return,16,2023-02
questions,16,2023-02
bank,16,2023-02
other,16,2023-02
story,16,2023-02
read,16,2023-02
does,16,2023-02
leader,16,2023-02
michigan,16,2023-02
charges,15,2023-02
race,15,2023-02
change,15,2023-02
film,15,2023-02
record,15,2023-02
job,15,2023-02
train,15,2023-02
shooting,15,2023-02
government,15,2023-02
winter,15,2023-02
inquiry,15,2023-02
under,15,2023-02
europe,15,2023-02
zelensky,15,2023-02
power,15,2023-02
sex,15,2023-02
grammys,15,2023-02
gets,15,2023-02
going,15,2023-02
town,15,2023-02
aid,15,2023-02
south,15,2023-02
returns,15,2023-02
americans,14,2023-02
board,14,2023-02
times,14,2023-02
search,14,2023-02
finds,14,2023-02
mean,14,2023-02
ex,14,2023-02
democrats,14,2023-02
men,14,2023-02
face,14,2023-02
tv,14,2023-02
run,14,2023-02
fashion,14,2023-02
monday,14,2023-02
wins,14,2023-02
food,14,2023-02
wednesday,13,2023-02
them,13,2023-02
violence,13,2023-02
keep,13,2023-02
never,13,2023-02
much,13,2023-02
energy,13,2023-02
second,13,2023-02
health,13,2023-02
deal,13,2023-02
killed,13,2023-02
real,13,2023-02
amid,13,2023-02
tech,13,2023-02
ukrainian,13,2023-02
tell,13,2023-02
brooklyn,13,2023-02
early,13,2023-02
derailment,13,2023-02
spring,13,2023-02
media,13,2023-02
10,13,2023-02
children,13,2023-02
wants,13,2023-02
support,13,2023-02
air,12,2023-02
been,12,2023-02
five,12,2023-02
