word,count,date
biden,253,2024-06
trump,241,2024-06
election,190,2024-06
primary,156,2024-06
2024,123,2024-06
june,106,2024-06
york,103,2024-06
district,100,2024-06
congressional,92,2024-06
debate,88,2024-06
court,88,2024-06
first,68,2024-06
israel,67,2024-06
war,65,2024-06
supreme,64,2024-06
gaza,59,2024-06
they,54,2024-06
heat,53,2024-06
house,50,2024-06
ukraine,49,2024-06
south,48,2024-06
week,47,2024-06
man,45,2024-06
time,44,2024-06
president,44,2024-06
case,43,2024-06
world,42,2024-06
summer,42,2024-06
do,40,2024-06
briefing,40,2024-06
e,40,2024-06
china,37,2024-06
years,37,2024-06
trial,37,2024-06
city,36,2024-06
mexico,35,2024-06
hunter,35,2024-06
dead,33,2024-06
million,33,2024-06
g,33,2024-06
judge,33,2024-06
abortion,33,2024-06
history,32,2024-06
democrats,32,2024-06
connections,32,2024-06
against,32,2024-06
school,32,2024-06
forum,31,2024-06
american,31,2024-06
russia,31,2024-06
where,31,2024-06
spelling,30,2024-06
fire,30,2024-06
back,30,2024-06
wordle,30,2024-06
companion,30,2024-06
california,30,2024-06
corrections,29,2024-06
power,29,2024-06
black,29,2024-06
long,29,2024-06
down,29,2024-06
jersey,29,2024-06
000,28,2024-06
women,28,2024-06
border,28,2024-06
next,27,2024-06
family,27,2024-06
way,27,2024-06
law,27,2024-06
france,27,2024-06
media,26,2024-06
voters,26,2024-06
israeli,26,2024-06
political,26,2024-06
two,26,2024-06
b,26,2024-06
far,25,2024-06
party,25,2024-06
help,25,2024-06
go,25,2024-06
senate,25,2024-06
conviction,24,2024-06
russian,24,2024-06
these,24,2024-06
inside,24,2024-06
other,24,2024-06
north,24,2024-06
star,24,2024-06
read,24,2024-06
homes,24,2024-06
state,24,2024-06
does,24,2024-06
want,24,2024-06
tony,24,2024-06
than,23,2024-06
many,23,2024-06
donald,23,2024-06
leader,23,2024-06
congestion,23,2024-06
pricing,23,2024-06
police,23,2024-06
wins,23,2024-06
climate,23,2024-06
night,23,2024-06
most,22,2024-06
tv,22,2024-06
gun,22,2024-06
former,22,2024-06
high,22,2024-06
immigration,22,2024-06
putin,22,2024-06
french,22,2024-06
presidential,22,2024-06
m,21,2024-06
west,21,2024-06
us,21,2024-06
ban,21,2024-06
post,21,2024-06
pay,21,2024-06
y,21,2024-06
during,21,2024-06
killed,21,2024-06
guilty,21,2024-06
florida,20,2024-06
india,20,2024-06
states,20,2024-06
them,20,2024-06
through,20,2024-06
quotation,20,2024-06
secret,20,2024-06
children,20,2024-06
look,20,2024-06
age,20,2024-06
found,20,2024-06
officials,20,2024-06
should,20,2024-06
wave,20,2024-06
times,20,2024-06
race,20,2024-06
republicans,20,2024-06
ruling,20,2024-06
hit,19,2024-06
got,19,2024-06
coming,19,2024-06
netanyahu,19,2024-06
days,19,2024-06
america,19,2024-06
people,19,2024-06
broadway,19,2024-06
me,19,2024-06
military,19,2024-06
virginia,19,2024-06
shows,18,2024-06
before,18,2024-06
news,18,2024-06
another,18,2024-06
shooting,18,2024-06
washington,18,2024-06
europe,18,2024-06
key,18,2024-06
charged,18,2024-06
gets,18,2024-06
work,18,2024-06
public,18,2024-06
democratic,18,2024-06
fight,18,2024-06
made,18,2024-06
four,18,2024-06
doctor,17,2024-06
verdict,17,2024-06
book,17,2024-06
would,17,2024-06
top,17,2024-06
books,17,2024-06
modi,17,2024-06
makes,17,2024-06
prison,17,2024-06
own,17,2024-06
face,17,2024-06
charges,17,2024-06
social,17,2024-06
being,17,2024-06
finds,17,2024-06
last,17,2024-06
v,17,2024-06
plan,17,2024-06
schools,17,2024-06
wants,17,2024-06
colorado,17,2024-06
takes,16,2024-06
national,16,2024-06
deal,16,2024-06
death,16,2024-06
even,16,2024-06
push,16,2024-06
amid,16,2024-06
korea,16,2024-06
woman,16,2024-06
country,16,2024-06
