word,count,date
2022,145,2022-12
world,92,2022-12
trump,83,2022-12
ukraine,74,2022-12
york,67,2022-12
china,66,2022-12
briefing,64,2022-12
do,64,2022-12
covid,63,2022-12
they,60,2022-12
cup,54,2022-12
christmas,54,2022-12
russia,52,2022-12
holiday,51,2022-12
russian,50,2022-12
week,48,2022-12
war,47,2022-12
house,44,2022-12
biden,42,2022-12
court,41,2022-12
party,40,2022-12
georgia,39,2022-12
time,39,2022-12
jan,38,2022-12
dec,36,2022-12
spelling,36,2022-12
end,36,2022-12
two,36,2022-12
first,35,2022-12
city,35,2022-12
man,34,2022-12
california,34,2022-12
fried,33,2022-12
bankman,32,2022-12
forum,32,2022-12
back,32,2022-12
congress,32,2022-12
million,32,2022-12
case,32,2022-12
putin,32,2022-12
way,31,2022-12
women,31,2022-12
children,30,2022-12
dead,30,2022-12
where,30,2022-12
quotation,29,2022-12
black,29,2022-12
corrections,28,2022-12
still,28,2022-12
state,28,2022-12
sam,27,2022-12
deal,27,2022-12
years,27,2022-12
winter,27,2022-12
storm,27,2022-12
senate,26,2022-12
should,26,2022-12
climate,26,2022-12
books,26,2022-12
south,26,2022-12
most,26,2022-12
power,26,2022-12
report,26,2022-12
people,26,2022-12
e,25,2022-12
twitter,25,2022-12
takes,25,2022-12
read,25,2022-12
musk,24,2022-12
leader,24,2022-12
american,24,2022-12
against,24,2022-12
family,24,2022-12
election,24,2022-12
democrats,24,2022-12
look,23,2022-12
these,23,2022-12
america,23,2022-12
future,23,2022-12
would,23,2022-12
us,23,2022-12
10,23,2022-12
crisis,23,2022-12
times,22,2022-12
next,22,2022-12
y,22,2022-12
homes,22,2022-12
team,22,2022-12
long,22,2022-12
white,22,2022-12
does,22,2022-12
down,22,2022-12
history,22,2022-12
griner,22,2022-12
made,21,2022-12
judge,21,2022-12
found,21,2022-12
me,21,2022-12
workers,21,2022-12
evening,21,2022-12
b,21,2022-12
bill,21,2022-12
face,21,2022-12
zelensky,21,2022-12
plan,21,2022-12
them,20,2022-12
2023,20,2022-12
dinner,20,2022-12
pandemic,20,2022-12
pay,20,2022-12
key,20,2022-12
little,20,2022-12
friday,20,2022-12
military,20,2022-12
last,20,2022-12
final,19,2022-12
spending,19,2022-12
finds,19,2022-12
supreme,19,2022-12
tax,19,2022-12
weekend,19,2022-12
faces,19,2022-12
behind,19,2022-12
fight,19,2022-12
than,19,2022-12
ftx,18,2022-12
qatar,18,2022-12
change,18,2022-12
met,18,2022-12
george,18,2022-12
art,18,2022-12
police,18,2022-12
energy,18,2022-12
charged,18,2022-12
inside,18,2022-12
death,18,2022-12
other,18,2022-12
want,18,2022-12
lost,18,2022-12
g,17,2022-12
elon,17,2022-12
music,17,2022-12
rules,17,2022-12
through,17,2022-12
warnock,17,2022-12
race,17,2022-12
000,17,2022-12
work,17,2022-12
health,17,2022-12
president,17,2022-12
tell,17,2022-12
government,17,2022-12
isn,17,2022-12
game,16,2022-12
tv,16,2022-12
another,16,2022-12
story,16,2022-12
prison,16,2022-12
law,16,2022-12
officials,16,2022-12
border,16,2022-12
news,16,2022-12
stories,16,2022-12
great,16,2022-12
france,16,2022-12
argentina,16,2022-12
santos,16,2022-12
stage,15,2022-12
food,15,2022-12
africa,15,2022-12
panel,15,2022-12
company,15,2022-12
walker,15,2022-12
close,15,2022-12
movies,15,2022-12
before,15,2022-12
own,15,2022-12
star,15,2022-12
bad,15,2022-12
making,15,2022-12
season,15,2022-12
brings,15,2022-12
top,15,2022-12
m,15,2022-12
deaths,15,2022-12
town,15,2022-12
soccer,15,2022-12
sports,15,2022-12
many,15,2022-12
part,15,2022-12
returns,15,2022-12
place,15,2022-12
political,15,2022-12
release,15,2022-12
justice,14,2022-12
thursday,14,2022-12
john,14,2022-12
broadway,14,2022-12
going,14,2022-12
without,14,2022-12
