_id,headline,pub_date
nyt://article/cd8e53f1-1230-548c-94dd-576c114d3262,Biden Cancels Space Command Move to Alabama Amid Tuberville Feud,2023-08-01 00:27:55
nyt://article/9df4e31d-5817-5701-96f7-2035414f8ee0,Paul Reubens Was More Than Pee-wee. Here are 8 Great Performances.,2023-08-01 01:15:10
nyt://article/35e0cb7a-6ae1-55dc-b70f-8912c8f11f6c,"Crunch Muscles, for Short",2023-08-01 02:00:07
nyt://article/4826aba2-5647-59a5-a10b-c4674ef55d03,"After Paying Lawyers, Trump’s PAC Is Nearly Broke",2023-08-01 03:00:04
nyt://article/bf094619-4a5c-5ecf-ab42-5e273bf08dfb,Tuesday Briefing,2023-08-01 03:39:08
nyt://article/85eca3d6-8c50-5921-82f9-2e6479c5a3ca,"Move Over, Men: Women Were Hunters, Too",2023-08-01 04:01:13
nyt://article/c8352f17-bb9a-5ad5-8729-b469c27f0f18,Putin’s Crackdown Leaves Transgender Russians Bracing for Worse,2023-08-01 04:01:14
nyt://article/1d67d53d-0295-5f8e-9c79-ba5f2d5f138d,"Quotation of the Day: Scientists Revive Two Roundworms That Were Encased in Siberian Permafrost for 46,000 Years",2023-08-01 04:10:40
nyt://article/dbba9802-16fc-5562-95e1-c16099beb1eb,"Corrections: Aug. 1, 2023",2023-08-01 04:18:36
nyt://interactive/dbe1ab1b-d4df-5171-9a45-b204eda55f3e,Topline Results: July 2023 Times/Siena Poll of Registered Voters,2023-08-01 04:19:08
nyt://interactive/6be1928a-b852-5981-8983-4f08953d413e,Cross-Tabs: July 2023 Times/Siena Poll of the 2024 Race and National Issues,2023-08-01 04:19:09
nyt://article/67325f70-22af-5cc5-b00e-8c9ee0a55294,"After Investigation and Complaints, Twitter Removes ‘X’ on Headquarters",2023-08-01 04:24:49
nyt://article/0a44de3e-52e4-5631-969f-a5692e123221,The Covid Test Company That Got Into the Migrant Business,2023-08-01 05:51:00
nyt://article/e6dc2059-817b-58a7-90a1-dfd282a90c70,Tropical Cyclone Kills 2 in Southern Japan,2023-08-01 06:06:09
nyt://article/6fe39d04-1450-5274-95b2-171de68a7ced,Aung San Suu Kyi’s Prison Sentence Reduced in Myanmar,2023-08-01 06:25:26
nyt://article/061bb40a-4033-50cf-b2a9-1db79a184d54,Today’s Wordle Review,2023-08-01 07:00:02
nyt://article/bb858131-766b-5b77-9ec1-565812060e01,"Can the Race Really Be That Close? Yes, Biden and Trump Are Tied.",2023-08-01 07:00:04
nyt://article/a9802887-22d0-5eb1-ab11-1d0fa8ad6c1d,Suspect in Gilgo Beach Killings Hears Catalog of Evidence Against Him,2023-08-01 07:00:07
nyt://article/91f10cb3-ccd3-5ce9-8e3c-35062bb4a5b5,Spelling Bee Forum,2023-08-01 07:00:08
nyt://article/9f94b239-d2a5-5dea-9cb0-2dcf760b3908,A Senator’s New Wife and Her Old Friends Draw Prosecutors’ Attention,2023-08-01 07:00:14
nyt://article/a6f9c1bd-b4bc-58ef-9be7-a784eac44d47,More Republicans Say Trump Committed Crimes. But They Still Support Him.,2023-08-01 07:00:19
nyt://article/803e0341-7bf0-5c69-ab24-ceaef05e80ea,"Biden Shores Up Democratic Support, but Faces Tight Race Against Trump",2023-08-01 07:00:21
nyt://article/31b05c31-7b6a-50a7-8284-dd58e779df32,New Voices Dominate Booker Prize Nominations,2023-08-01 08:00:12
nyt://article/94f2fcc5-9923-5473-a10a-b9b12f2a4501,‘Barbenheimer’ Isn’t Funny in Nuclear-Scarred Japan,2023-08-01 08:33:20
nyt://video/0a94b6e2-1f95-55dd-b61a-134aec179647,They Know What They Did. They’d Like You to Know Who They’ve Become.,2023-08-01 08:50:07
nyt://article/cb0a7deb-2d0f-51ee-8449-77dce7345ca3,They Know What They Did. They’d Like You to Know Who They’ve Become.,2023-08-01 09:00:13
nyt://article/1b1a7605-e101-54c8-92ec-74d277ccc3fe,How Martin Wolf Understands This Global Economic Moment,2023-08-01 09:00:18
nyt://article/6c3c93f2-5ddd-59ea-aff9-44339f48c9e1,Being Underestimated Was Her Secret Weapon,2023-08-01 09:00:23
nyt://article/675bd475-05a6-5ad2-bd6d-7df5370ced7a,"‘Family Lore’ Is a Tender Tale of Sisterhood, With a Magical Twist",2023-08-01 09:00:29
nyt://article/e0e38279-969b-5525-9e86-530e7b8d8f49,A Uyghur’s Lament for a Persecuted People,2023-08-01 09:00:30
nyt://article/5496cbd4-9903-5636-8464-5eaeb6528d99,The Arrogance of Samuel Alito,2023-08-01 09:00:32
