word,count,date
trump,260,2023-08
york,85,2023-08
china,83,2023-08
biden,74,2023-08
they,68,2023-08
world,67,2023-08
ukraine,62,2023-08
case,61,2023-08
debate,58,2023-08
maui,56,2023-08
republican,55,2023-08
california,52,2023-08
first,51,2023-08
russia,51,2023-08
do,51,2023-08
2023,50,2023-08
summer,50,2023-08
georgia,48,2023-08
time,47,2023-08
top,46,2023-08
election,46,2023-08
briefing,45,2023-08
city,45,2023-08
news,44,2023-08
man,44,2023-08
g,43,2023-08
years,40,2023-08
spelling,40,2023-08
desantis,39,2023-08
aug,37,2023-08
judge,37,2023-08
indictment,37,2023-08
court,37,2023-08
american,36,2023-08
women,35,2023-08
two,35,2023-08
state,35,2023-08
against,34,2023-08
people,34,2023-08
next,34,2023-08
wordle,32,2023-08
forum,32,2023-08
week,32,2023-08
quotation,31,2023-08
corrections,31,2023-08
war,31,2023-08
million,30,2023-08
presidential,30,2023-08
trial,30,2023-08
fire,30,2023-08
killing,30,2023-08
e,29,2023-08
gets,29,2023-08
back,29,2023-08
where,29,2023-08
house,29,2023-08
long,29,2023-08
still,28,2023-08
school,28,2023-08
america,28,2023-08
help,28,2023-08
wildfires,28,2023-08
russian,27,2023-08
dead,27,2023-08
than,26,2023-08
change,26,2023-08
black,26,2023-08
these,26,2023-08
high,26,2023-08
former,26,2023-08
cup,26,2023-08
republicans,25,2023-08
fight,25,2023-08
water,25,2023-08
florida,25,2023-08
south,25,2023-08
down,25,2023-08
fires,25,2023-08
hawaii,25,2023-08
them,24,2023-08
many,24,2023-08
power,24,2023-08
homes,24,2023-08
000,23,2023-08
iowa,23,2023-08
wildfire,23,2023-08
heat,23,2023-08
crisis,23,2023-08
police,23,2023-08
does,23,2023-08
climate,23,2023-08
open,22,2023-08
work,22,2023-08
woman,22,2023-08
behind,22,2023-08
charged,22,2023-08
president,22,2023-08
even,22,2023-08
candidates,22,2023-08
japan,21,2023-08
before,21,2023-08
economy,21,2023-08
through,21,2023-08
lost,21,2023-08
future,21,2023-08
times,20,2023-08
way,20,2023-08
history,20,2023-08
need,20,2023-08
august,20,2023-08
most,20,2023-08
10,20,2023-08
west,20,2023-08
legal,20,2023-08
charges,20,2023-08
face,20,2023-08
read,20,2023-08
death,20,2023-08
b,20,2023-08
officials,20,2023-08
chief,20,2023-08
idalia,20,2023-08
great,19,2023-08
family,19,2023-08
should,19,2023-08
art,19,2023-08
under,19,2023-08
campaign,19,2023-08
jan,19,2023-08
team,19,2023-08
us,19,2023-08
shot,19,2023-08
billion,19,2023-08
star,19,2023-08
want,19,2023-08
hurricane,19,2023-08
ramaswamy,19,2023-08
amid,18,2023-08
men,18,2023-08
soccer,18,2023-08
season,18,2023-08
real,18,2023-08
texas,18,2023-08
made,18,2023-08
storm,18,2023-08
move,17,2023-08
covid,17,2023-08
books,17,2023-08
own,17,2023-08
me,17,2023-08
keep,17,2023-08
killed,17,2023-08
guilty,17,2023-08
another,17,2023-08
adams,17,2023-08
making,17,2023-08
children,17,2023-08
finds,17,2023-08
prigozhin,17,2023-08
space,16,2023-08
putin,16,2023-08
issues,16,2023-08
got,16,2023-08
prosecutors,16,2023-08
moment,16,2023-08
deadly,16,2023-08
leader,16,2023-08
special,16,2023-08
found,16,2023-08
y,16,2023-08
three,16,2023-08
much,16,2023-08
fall,16,2023-08
changed,16,2023-08
political,16,2023-08
abortion,16,2023-08
white,16,2023-08
attack,16,2023-08
candidate,16,2023-08
hunter,16,2023-08
tropical,15,2023-08
faces,15,2023-08
once,15,2023-08
won,15,2023-08
group,15,2023-08
wants,15,2023-08
hard,15,2023-08
hot,15,2023-08
accused,15,2023-08
inside,15,2023-08
five,15,2023-08
getting,15,2023-08
strikes,15,2023-08
been,15,2023-08
latest,15,2023-08
set,15,2023-08
sentenced,15,2023-08
sale,15,2023-08
lahaina,15,2023-08
migrant,14,2023-08
