_id,headline,pub_date
nyt://article/2b4aa2f8-5cf4-5fe2-bfe4-3f347ac54bd2,‘Doctor Who’ Episode 5 Recap: Bursting the Bubble,2024-06-01 00:00:08
nyt://article/e2a8a9ca-62a2-56a8-a3e0-3f21ac6ef7ae,Ohio Legislature Passes Bill Ensuring Biden’s Spot on the Ballot,2024-06-01 00:15:09
nyt://article/13f1cafe-09d5-53d5-9d43-9fc76d551cb9,Florida Deputy Who Fatally Shot Airman Is Fired,2024-06-01 01:02:38
nyt://article/b3f5a931-ee30-5483-8225-084fb43fa92f,Trump and Allies Assail Conviction With Faulty Claims,2024-06-01 01:07:56
nyt://article/87978c30-1ba9-506b-a88e-9bfe7a603af0,How Trump’s Most Loyal Supporters Are Responding to the Verdict,2024-06-01 01:12:49
nyt://article/d87cab4a-025c-5ff8-bb10-97e9de3c2481,Biden Dons Kansas City Helmet to Celebrate Its Super Bowl Victory,2024-06-01 01:55:03
nyt://article/2d3cf4d1-747c-5d68-9b60-3b43d4f86bed,Cram In,2024-06-01 02:00:08
nyt://article/e0a7b3ca-553a-5245-9df5-ee5e88efe079,"‘2,000 Mules’ Producer Apologizes to Man Depicted Committing Election Fraud",2024-06-01 02:54:03
nyt://article/c5abc846-d33a-5e29-8359-1d5d54eef102,"Quote of the Day: Fresh From a Title, Hayes Takes Over the National Team",2024-06-01 03:55:01
nyt://article/edca3583-e7b5-5534-8f4b-598ad6d148ff,"Corrections: June 1, 2024",2024-06-01 03:55:01
nyt://article/87829584-8339-587f-8cc5-bcb3b445f473,German Soccer Team’s Deal With a Weapons Maker Prompts Some Boos,2024-06-01 04:00:07
nyt://article/7f56a768-af94-53ab-be9f-83283b589796,A Small Army Combating a Flood of Deepfakes in India’s Election,2024-06-01 04:01:09
nyt://article/fee82eb3-809a-5261-835c-8aa4b5f232db,"How Rhubarb Conquered Germany, Then the World",2024-06-01 04:01:13
nyt://article/b11abb19-9eec-589e-b0aa-151230e7c14a,Scandals and Missteps Slow Momentum of Germany’s Far Right,2024-06-01 04:01:31
nyt://article/45c008ca-fe8a-5282-a2aa-32c742020a10,The Champions League’s Most Bitter Rivalry May Be Off the Field,2024-06-01 04:30:13
nyt://article/3feda246-8ba8-5573-8ae7-6d52526417a6,"Russian Missiles Hit Ukraine’s Energy System, Again",2024-06-01 05:02:48
nyt://article/aba148eb-fef5-51a5-a603-f5cf128c4167,"Worried About Youth Crime, Newark Revives an 11 P.M. Curfew",2024-06-01 07:00:07
nyt://article/136aee30-c28b-55cb-b929-f1e46edc9988,How Michael Rainey Jr. of ‘Power Book II: Ghost’ Spends His Sundays,2024-06-01 07:00:22
nyt://article/8deb76dd-2133-5193-b053-afb1b97591de,Doctor-Assisted Death Is Legal in 10 States. Could New York Be No. 11?,2024-06-01 07:00:22
nyt://article/191e344d-c22c-5f9f-a136-080c91b352d5,Spelling Bee Forum,2024-06-01 07:00:26
nyt://article/9ee0729c-02d0-5f6d-b108-36c4084ca3f1,"New York, Once Trump’s Playground, Is Now the Scene of His Indignities",2024-06-01 07:00:41
nyt://article/fad67eb2-fc19-5ff6-8967-001e8e2c57db,Trump Has Few Ways to Overturn His Conviction as a New York Felon,2024-06-01 07:00:41
nyt://article/3973a947-28ba-58f2-b2c7-0fef695fd2aa,The Wedding Singer Takes a Celebrity Turn,2024-06-01 09:00:25
nyt://article/a78b033f-77eb-5579-9072-fcfad6c19fb8,She Dreamed of a New York Media Life. Would Her Soul Survive It?,2024-06-01 09:00:38
nyt://article/77790a23-7a03-5d10-826a-a96b3d753d7d,An Epidemic Hit These Farms Hard. Then Things Got Even Darker.,2024-06-01 09:00:54
nyt://article/9c2ce2fd-8b8c-54db-bc2c-73bd8a1b46d3,He Could Be the Next Lionel Messi. If Anyone Can Find Him.,2024-06-01 09:01:08
nyt://article/559ad36c-a639-542f-8396-580832dcd277,The 7 Grueling Months to Reclaim the Bookstore Dream a Fire Stole,2024-06-01 09:01:40
nyt://article/0d7d1923-1736-5008-abbd-72ffee14d138,"In the West Bank, Guns and a Locked Gate Signal a Town’s New Residents",2024-06-01 09:02:17
nyt://article/8d3fe6e1-c9d6-54f8-9c60-cd2ca7c8d166,Google’s A.I. Search Leaves Publishers Scrambling,2024-06-01 09:02:28
nyt://article/886a36c0-6c6c-5b09-80c1-beb6e5883dde,"He’s Obsessed With Sports and Politics. His Novels Are, Too.",2024-06-01 09:02:40
nyt://article/8684e408-fa1f-5d86-b3bb-43fa8a2bf8e7,"They’re Asian. They’re American. But, They Wonder, Are They Asian American?",2024-06-01 09:02:59
nyt://article/fde67cde-020f-56a8-9c8a-5a05975dccf6,Security Deposits: Your Landlord May Owe You More Than You Think,2024-06-01 09:03:12
nyt://article/7f4ebd08-acc7-5e0a-a490-13a11a2f3857,"She’s 98, and Walked Past Corpses to Escape Russian Attacks",2024-06-01 09:03:13
nyt://article/614c85fb-5a8a-53fa-91e0-9f35b95f501f,The Very Online Afterlife of Franz Kafka,2024-06-01 09:03:28
nyt://article/9ce7a15d-7d73-5039-aaf6-59a59aaa519a,"The History of Black Baseball Players, on Full Display",2024-06-01 09:03:29
nyt://article/80fb6ce5-258b-54f5-b777-acd49c04547c,‘Sugar’ Actress Kirby on the Only Album She Really Needs,2024-06-01 09:03:39
nyt://article/9b3e6695-499f-592d-8e6f-b4fb84c2adcb,"Bacon, Banter and the Business of a Diner",2024-06-01 09:03:40
nyt://article/75a956a8-d4bd-5f17-8b10-f6cabc4af5f3,"The Best Movies and TV Shows Coming to Amazon, AMC+, Disney+, Hulu, and More in June",2024-06-01 09:03:58
nyt://article/ad9328b4-e6b7-5315-b706-754c5ec6b615,Google Rolls Back A.I. Search Feature After Flubs and Flaws,2024-06-01 09:04:10
nyt://article/1c83957c-9fda-5c7d-9a7f-9caa8505e68e,My Friend Asked for Clothing Donations and Then Sold Them on Poshmark. Do I Confront Her?,2024-06-01 09:04:13
nyt://article/70be7bb1-4af4-5778-8a3f-4cf705b8cc6c,Democrats Push Biden to Make Trump’s Felonies a Top 2024 Issue,2024-06-01 09:04:14
nyt://article/ba4d2395-62c3-5ebd-b63d-72ae906806ce,"Elaine May, Ahead of Her Time",2024-06-01 09:05:17
nyt://article/0634898d-86a6-54a0-8980-7e7378f7e7f8,Why Mexico May Elect a Female President Before the United States,2024-06-01 09:05:33
nyt://article/c3073c55-6a6f-522c-abee-4f167bf9be47,A 9/11 Charity Provides a Financial Safety Net to a Giuliani Firm,2024-06-01 09:05:39
nyt://article/18cf8fc0-b9b4-560d-be1d-55b11cab63e5,"Trump Verdict Hardens Many Views, but Changes Some, Too",2024-06-01 09:05:47
nyt://article/8932ae12-aa02-5f78-bb2f-f479bb046923,Richard Linklater Sees the Killer Inside Us All,2024-06-01 09:15:11
nyt://article/a1881aac-42f3-5e8e-8a2e-5dfb871dc133,Notre-Dame Rises Again ... in Lego,2024-06-01 09:40:07
nyt://article/ba31a95e-d7be-5da1-8aa3-0d5468e04600,South African Voters Reject the Party That Freed Them From Apartheid,2024-06-01 09:58:49
nyt://article/c2eed8c8-03c0-5ebe-af4f-44f8f9ecf249,"Wordle Review No. 1,079, June 2, 2024",2024-06-01 10:00:02
nyt://article/4546232a-1c55-50bc-b5cd-bddb1853ff6a,"The Connections Companion No. 357, June 2, 2024",2024-06-01 10:00:03
nyt://article/4e5b93b6-0a0b-5c89-aa4b-628cbc80ce74,Warnings of Election Meddling by China Never Reached the Prime Minister,2024-06-01 10:00:05
nyt://article/7714a802-ae8e-551c-907d-edc0075a2ae3,It’s June Again,2024-06-01 10:36:58
nyt://article/53c4efe8-f7be-5b9a-a38d-947135c2ba0c,Mixed News About Opioid Overdoses,2024-06-01 11:00:02
nyt://article/70283960-347d-5300-bddd-17854e3ec0f2,Oil and Gas Companies Are Trying to Rig the Marketplace,2024-06-01 11:00:06
