word,count
election,258
trump,255
primary,233
biden,198
district,159
congressional,156
gaza,113
california,100
2024,80
york,79
texas,76
state,70
court,66
israel,65
do,62
house,56
march,53
aid,52
tiktok,51
fire,48
republican,46
case,46
man,45
american,43
first,43
war,43
russia,43
ukraine,42
union,41
briefing,41
they,41
years,41
judge,40
she,40
supreme,40
china,38
law,38
back,38
million,36
world,36
democratic,36
north,36
attack,36
two,35
time,35
oscars,35
still,34
against,34
way,33
forum,33
bridge,33
connections,32
america,32
tuesday,32
bill,32
g,31
billion,31
quotation,31
corrections,31
spelling,31
wordle,31
companion,31
party,31
city,31
000,31
night,31
go,30
cease,30
week,30
art,30
does,30
carolina,30
super,29
ohio,29
netanyahu,29
abortion,28
oscar,28
women,28
senate,28
many,27
down,27
trial,27
plan,27
us,27
read,27
should,27
voters,27
homes,27
where,26
moscow,26
would,26
race,26
crisis,26
age,26
putin,26
rules,26
media,26
charged,26
need,26
security,26
news,25
history,25
top,25
police,25
people,25
than,25
e,24
former,24
subway,24
most,24
power,24
help,24
israeli,23
behind,23
don,23
republicans,23
russian,23
fight,23
change,23
national,23
georgia,23
democrats,23
family,23
watch,23
coming,22
climate,22
problem,22
school,22
campaign,22
last,22
politics,22
illinois,22
wins,21
y,21
made,21
music,21
musk,21
haiti,21
death,21
officials,21
them,21
ship,21
key,21
won,21
states,21
these,21
much,21
baltimore,21
faces,20
times,20
children,20
apple,20
cancer,20
work,20
spring,20
m,19
inside,19
speech,19
amid,19
housing,19
found,19
elon,19
high,19
little,19
leader,19
social,19
under,19
call,19
making,19
finds,19
haley,19
alabama,19
white,19
health,19
deadly,18
border,18
never,18
killed,18
look,18
books,18
makes,18
been,18
boeing,18
shooting,18
vote,18
me,18
through,18
washington,18
long,18
next,18
another,18
black,18
10,18
want,18
country,18
prison,17
questions,17
things,17
weekend,17
star,17
