word,count,date
trump,416,2024-05
biden,158,2024-05
election,140,2024-05
trial,129,2024-05
2024,122,2024-05
israel,111,2024-05
primary,99,2024-05
gaza,74,2024-05
york,68,2024-05
house,65,2024-05
district,65,2024-05
congressional,63,2024-05
court,63,2024-05
police,58,2024-05
rafah,57,2024-05
ukraine,57,2024-05
she,56,2024-05
case,55,2024-05
president,55,2024-05
do,55,2024-05
war,51,2024-05
china,49,2024-05
world,48,2024-05
they,47,2024-05
russia,47,2024-05
briefing,45,2024-05
protesters,45,2024-05
week,45,2024-05
first,45,2024-05
protests,45,2024-05
met,43,2024-05
cohen,43,2024-05
dead,43,2024-05
manhattan,42,2024-05
man,39,2024-05
israeli,38,2024-05
million,38,2024-05
judge,38,2024-05
campus,36,2024-05
years,35,2024-05
palestinian,35,2024-05
gala,35,2024-05
spelling,34,2024-05
state,34,2024-05
made,34,2024-05
against,34,2024-05
wordle,33,2024-05
connections,33,2024-05
companion,33,2024-05
black,33,2024-05
should,33,2024-05
down,33,2024-05
georgia,33,2024-05
back,33,2024-05
city,32,2024-05
donald,32,2024-05
000,32,2024-05
time,32,2024-05
long,31,2024-05
homes,31,2024-05
forum,31,2024-05
money,31,2024-05
deal,31,2024-05
south,30,2024-05
texas,30,2024-05
voters,30,2024-05
where,30,2024-05
students,30,2024-05
iran,30,2024-05
democrats,29,2024-05
corrections,29,2024-05
night,29,2024-05
hamas,29,2024-05
art,29,2024-05
senate,29,2024-05
want,29,2024-05
stormy,29,2024-05
daniels,29,2024-05
through,28,2024-05
tv,28,2024-05
women,28,2024-05
takeaways,28,2024-05
two,28,2024-05
leaders,28,2024-05
russian,28,2024-05
west,28,2024-05
college,27,2024-05
history,27,2024-05
takes,27,2024-05
campaign,27,2024-05
them,27,2024-05
california,27,2024-05
times,27,2024-05
protest,27,2024-05
transcript,26,2024-05
read,26,2024-05
most,26,2024-05
student,26,2024-05
help,26,2024-05
does,26,2024-05
american,26,2024-05
officials,26,2024-05
star,26,2024-05
death,26,2024-05
aid,26,2024-05
last,25,2024-05
these,25,2024-05
next,25,2024-05
fire,25,2024-05
michael,25,2024-05
military,25,2024-05
white,24,2024-05
movies,24,2024-05
fight,24,2024-05
calls,24,2024-05
chinese,24,2024-05
party,24,2024-05
power,24,2024-05
jr,24,2024-05
inside,24,2024-05
g,23,2024-05
y,23,2024-05
abortion,23,2024-05
end,23,2024-05
change,23,2024-05
guilty,23,2024-05
verdict,23,2024-05
law,22,2024-05
school,22,2024-05
finds,22,2024-05
gets,22,2024-05
go,22,2024-05
way,22,2024-05
before,22,2024-05
america,22,2024-05
criminal,22,2024-05
leader,22,2024-05
jury,22,2024-05
strike,22,2024-05
found,22,2024-05
rules,22,2024-05
m,22,2024-05
keep,21,2024-05
quotation,21,2024-05
europe,21,2024-05
would,21,2024-05
pro,21,2024-05
killed,21,2024-05
still,21,2024-05
republicans,21,2024-05
tiktok,21,2024-05
defense,21,2024-05
alito,21,2024-05
columbia,20,2024-05
won,20,2024-05
arrest,20,2024-05
encampment,20,2024-05
books,20,2024-05
young,20,2024-05
former,20,2024-05
e,20,2024-05
him,20,2024-05
than,20,2024-05
10,20,2024-05
chief,20,2024-05
music,20,2024-05
another,20,2024-05
justice,20,2024-05
maryland,20,2024-05
face,19,2024-05
inflation,19,2024-05
supreme,19,2024-05
pay,19,2024-05
race,19,2024-05
work,19,2024-05
wants,19,2024-05
republican,19,2024-05
federal,18,2024-05
plan,18,2024-05
people,18,2024-05
us,18,2024-05
stop,18,2024-05
amid,18,2024-05
key,18,2024-05
deadly,18,2024-05
antisemitism,18,2024-05
three,18,2024-05
news,18,2024-05
comes,18,2024-05
attack,18,2024-05
top,18,2024-05
talks,18,2024-05
other,18,2024-05
family,18,2024-05
summer,18,2024-05
putin,18,2024-05
public,18,2024-05
least,17,2024-05
oil,17,2024-05
florida,17,2024-05
