word,count
new,212
2023,173
trump,147
israel,119
gaza,110
about,104
year,100
review,95
dies,90
can,89
who,87
court,80
more,78
biden,78
over,76
day,73
says,72
his,69
your,68
not,66
york,66
up,65
was,65
out,62
best,62
ukraine,62
he,60
why,59
we,59
will,59
one,59
war,58
o,53
climate,52
holiday,52
but,52
do,51
my,50
her,48
world,47
they,46
israeli,45
hamas,44
aid,44
into,44
christmas,44
time,43
back,43
have,43
say,42
supreme,42
briefing,41
china,41
case,41
now,40
could,40
house,39
city,39
dec,38
love,38
all,37
life,37
big,36
american,36
when,35
million,35
election,34
2024,34
today,33
wordle,33
years,33
russia,33
two,32
down,32
home,32
our,32
than,31
their,31
desantis,31
quotation,31
corrections,31
connections,31
companion,31
spelling,31
bee,31
forum,31
should,31
man,31
art,31
next,30
still,29
president,29
p,29
some,29
make,29
know,29
get,28
books,28
week,28
times,28
way,27
000,27
republicans,27
where,27
border,27
killed,26
debate,26
10,26
black,26
g,26
or,25
season,25
these,25
fire,25
haley,25
sea,25
off,25
women,24
america,24
police,24
does,24
california,24
people,24
us,24
judge,23
old,23
word,23
would,23
show,23
santos,23
tv,23
may,23
deaths,23
power,23
south,23
colorado,23
deal,23
party,22
leader,22
behind,22
red,22
like,22
things,22
attacks,22
right,22
here,22
texas,22
state,22
military,22
most,22
family,22
summit,21
won,21
movies,21
made,21
read,21
first,21
help,21
law,21
just,21
were,20
money,20
go,20
against,20
other,20
inside,20
she,20
long,19
work,19
children,19
antisemitism,19
so,19
george,19
congress,19
dead,19
trial,19
end,19
history,19
change,19
homes,19
ballot,19
harvard,19
stories,19
former,18
death,18
re,18
russian,18
e,18
white,18
favorite,18
questions,18
fight,18
support,18
there,18
f,18
wants,17
too,17
hostages,17
d,17
great,17
