_id,headline,pub_date
nyt://article/0b16df62-9eba-5e67-a6dd-ae457d1362aa,PGA Tour and Saudi-Backed LIV Extend Deadline to Finalize Deal,2024-01-01 00:25:32
nyt://article/e78e4da6-d5b5-5636-a0c2-1b13e62cf65b,Something to Whistle,2024-01-01 00:32:06
nyt://article/2b16c6ee-54aa-593c-a6cb-89d414215401,"U.S. Helicopters Sink 3 Houthi Boats in Red Sea, Pentagon Says",2024-01-01 00:53:23
nyt://article/814aee78-1ecc-580f-9294-21f668326d76,"In Times Square, Hundreds of Thousands Ring In 2024",2024-01-01 02:09:45
nyt://article/66b6b6a7-c436-5ab9-9318-b2bb3cbef49a,"Quotation of the Day: In a Jewish-Arab School, an Oasis From Division but Not From Deep Fears",2024-01-01 03:59:09
nyt://article/61d662df-7ed4-570b-9095-90791a3e2d27,"Half of Gazans Are at Risk of Starving, U.N. Warns",2024-01-01 05:01:23
nyt://article/51a3d293-71dd-59f8-a322-ec977af34a3b,How to Start the New Year? Keep the Sea Goddess Happy.,2024-01-01 05:01:27
nyt://interactive/438d36f3-0d7e-5897-9fe9-7be134fb4bee,What’s Sapping Your Energy?,2024-01-01 05:05:23
nyt://article/8cba8136-930e-576a-beaa-06a9459ae451,Day 1: A 5-Minute Trick for More Energy,2024-01-01 05:09:24
nyt://article/535ea474-fff2-54ae-8dc0-de0ab0788993,Monday Briefing,2024-01-01 05:49:05
nyt://article/594e4b8c-3bf8-576a-8095-79c242fb7e21,What’s on TV This Week: ‘RuPaul’s Drag Race’ and the Golden Globes,2024-01-01 06:00:14
nyt://article/ea490c64-9744-5dbc-b515-94fd2ee4d340,Today’s Wordle Review,2024-01-01 08:00:02
nyt://article/0c688f59-fe6f-5dd4-bce2-d2bd04571844,Spelling Bee Forum,2024-01-01 08:00:03
nyt://article/649a36d9-2c4f-544b-9bb9-e004139a7ab4,The Connections Companion,2024-01-01 08:00:03
nyt://article/a8c26d86-2a05-5c74-bbf7-5887ed60be38,It’s 2024. Here Are the New Laws That New Yorkers Should Know About.,2024-01-01 08:00:15
nyt://article/3997703c-f476-57c1-8eaf-bf7b2de16dd1,The Well Team Knows You’re Tired. And They’re Here to Help.,2024-01-01 08:00:17
nyt://article/3651f7fc-3788-5fdb-ba59-da7218312988,New State Laws on Hot-Button Issues Take Effect Today,2024-01-01 08:00:30
nyt://article/8a7a7d61-c071-5853-bbc6-895154c4c66f,Can New Haven’s Legendary Pizza Joints Play on the National Stage?,2024-01-01 08:00:34
nyt://article/6c0a7bb1-77bb-58cd-a996-bde70f10ceb9,Chill in the Housing Market Seeps Into Other Industries,2024-01-01 10:00:40
nyt://article/c94f3754-54bf-5693-92bc-b979436b094e,Firecrackers and Ice: 5 Must-See Festivals in Asia This Winter,2024-01-01 10:00:56
nyt://article/745a183d-6564-5a71-9944-8aa6612383fb,What Will Life Be Like in 2024?,2024-01-01 10:01:01
nyt://article/81822daa-8e4c-5833-976f-5606db81cbcb,What Our Critics Are Looking Forward to in 2024,2024-01-01 10:01:01
nyt://article/d76f6363-696a-50a9-88c0-de9b6157f018,Making a Cooking Resolution? These 9 Recipes Will Get You Started.,2024-01-01 10:01:01
nyt://article/c0dfadaf-d978-5bed-b1ec-d5694fcff43f,Young Love Meets Russian Repression. They Said ‘I Do’ in a Moscow Prison,2024-01-01 10:01:10
nyt://article/9dc48e6f-4748-555c-9f61-2d28820582da,$4.5 Million Homes in California,2024-01-01 10:01:36
nyt://article/6a3aa056-cc86-5bab-a915-ef52d156edaa,How Do You Respond to a Young Person Upset by Racist Jokes at School?,2024-01-01 10:01:38
nyt://article/83b938e9-c8ab-5927-9ada-fbe7295b315b,America Ferrera and the ‘Barbie’ Monologue We All Talked About,2024-01-01 10:01:58
nyt://article/f3cf8144-b862-5d7b-84fe-529d30d4b7a6,Emily Blunt Doesn’t Care if Her ‘Oppenheimer’ Character Is Likable,2024-01-01 10:01:58
nyt://article/7c714fa4-591c-546c-8b01-4bd06f7db418,"Want to Feel, Intellectually, Like Someone Is Rotating Your Tires?",2024-01-01 10:02:02
nyt://article/a8f56493-3967-5527-a01b-c6c68da6729a,Looking Ahead to 5 Things That Will Shape the 2024 Election,2024-01-01 10:02:07
nyt://article/9cb2d1bd-b49b-526b-a3c4-f4e84bd02521,"Trump Team, Burned in 2016, Looks to Close Out Iowa",2024-01-01 10:02:09
nyt://article/7326c99b-1d8e-512f-9a44-c6d82336e00c,Trump’s Most Ambitious Argument in His Bid for ‘Absolute Immunity’,2024-01-01 10:02:12
nyt://article/23a20151-52f5-55d1-a2c2-660a85f997ae,"Police Officers Are Charged With Crimes, but Are Juries Convicting?",2024-01-01 10:02:37
nyt://article/052c9436-cbcf-5905-9c9d-5a62b6bdfae2,These Classic Characters Are Losing Copyright Protection. They May Never Be the Same.,2024-01-01 10:45:09
nyt://article/17dae56f-c072-5330-8233-fac6e8ae9a8a,A New Year’s Energy Boost,2024-01-01 10:57:10
nyt://article/53ffa501-b728-57d1-baaf-0b5dec2af2ee,"In Quake-Scarred Japan, 2011 Fukushima Disaster Still Looms Large",2024-01-01 11:37:23
nyt://article/5cfffd59-758e-5ad1-8f23-f558379d95fc,Actress Carrie Bernans Among People Injured in Midtown New Year’s Crash,2024-01-01 11:44:19
nyt://article/7ccfb41b-c1af-5d11-af35-82521875fc83,China Auto Giant BYD Sells More Electric Vehicles Than Ever,2024-01-01 12:43:30
nyt://article/9ac2c03c-91f8-500f-9b76-7ebd857e3292,Israel Says It Will Pull Several Brigades From Gaza Strip,2024-01-01 13:44:22
nyt://article/bc7bc5cd-bc91-584b-a352-dbdb94c27d57,Modern Swifties Have Transcended the Joke,2024-01-01 14:00:03
nyt://article/e898a11b-337e-5747-9e28-f4aefe4d5118,Caregivers Helped Us Be a Family. Everyone Should Have That Option.,2024-01-01 14:00:03
nyt://article/f2decfe3-2d54-5734-a9e2-9fe28ade52d9,Governor Defiance Tries to Usurp Washington’s Role,2024-01-01 14:00:06
nyt://article/1608e08f-2ef7-512c-8526-2ad7f6c3c88e,How Telling Stories to My Daughter Got Me Through the Darkest Times,2024-01-01 14:00:12
nyt://article/99171987-1467-5710-a114-7f038741a837,That Numbness You’re Feeling? There’s a Word for It.,2024-01-01 14:00:13
nyt://article/111f8339-7bd7-5567-ba9f-7688e6089b28,Trump Cacophony Hits Differently This Time,2024-01-01 14:00:15
nyt://article/faf4a984-ba11-5e5d-bbdc-f8eb15cf4a38,Is America on the Mend?,2024-01-01 14:00:15
nyt://interactive/d3fc031c-9ce6-5475-8b4c-a550d5516699,Map: Earthquake Strikes Japan,2024-01-01 14:08:08
nyt://article/dcea7519-b077-5b51-98e9-411b5a35c030,Lemony White Bean Soup With Turkey and Greens to Kick-Start the New Year,2024-01-01 16:00:02
nyt://article/6323e296-a218-59d2-932d-eaca9483792b,A Gaza Mayor’s View of the Conflict,2024-01-01 16:00:07
nyt://article/32be2fa0-209f-5984-9eda-bb443f42c450,Review: The Met’s New ‘Carmen’ Trades Castanets for Cutoffs,2024-01-01 16:36:33
nyt://article/af7c891e-2637-5944-887b-40f57f335361,"Les McCann, Pianist, Singer and Soul Jazz Pioneer, Dies at 88",2024-01-01 17:06:07
nyt://article/c818d8d7-ba78-5b5b-8d53-f89c985d1bd2,"Jan. 18: Axiom Space may send a crew of Italian, Swedish and Turkish astronauts to the International Space Station.",2024-01-01 17:15:11
nyt://article/79607da1-2a8b-5c96-9386-378a42179fe1,November: NASA could launch four astronauts on the Artemis II mission around the moon.,2024-01-01 17:15:26
