word,count,date
biden,97,2023-07
trump,91,2023-07
2023,79,2023-07
world,75,2023-07
heat,73,2023-07
ukraine,71,2023-07
women,69,2023-07
york,68,2023-07
china,65,2023-07
do,61,2023-07
court,59,2023-07
july,57,2023-07
russia,51,2023-07
they,51,2023-07
summer,51,2023-07
war,50,2023-07
israel,49,2023-07
top,48,2023-07
cup,48,2023-07
where,45,2023-07
deal,44,2023-07
million,43,2023-07
city,42,2023-07
briefing,42,2023-07
spelling,41,2023-07
16,41,2023-07
house,40,2023-07
time,40,2023-07
years,39,2023-07
dead,37,2023-07
first,37,2023-07
judge,37,2023-07
nato,37,2023-07
desantis,36,2023-07
america,35,2023-07
week,35,2023-07
news,35,2023-07
case,34,2023-07
advance,34,2023-07
round,34,2023-07
wordle,33,2023-07
barbie,33,2023-07
forum,32,2023-07
climate,32,2023-07
against,32,2023-07
back,32,2023-07
quotation,31,2023-07
corrections,31,2023-07
supreme,31,2023-07
american,31,2023-07
strike,31,2023-07
police,30,2023-07
hollywood,29,2023-07
two,28,2023-07
way,28,2023-07
russian,28,2023-07
man,28,2023-07
black,27,2023-07
california,27,2023-07
next,27,2023-07
got,27,2023-07
long,26,2023-07
wimbledon,25,2023-07
people,25,2023-07
twitter,25,2023-07
party,24,2023-07
than,24,2023-07
action,24,2023-07
still,24,2023-07
florida,24,2023-07
g,24,2023-07
homes,24,2023-07
south,23,2023-07
help,23,2023-07
last,23,2023-07
down,23,2023-07
president,23,2023-07
e,23,2023-07
putin,22,2023-07
star,22,2023-07
should,22,2023-07
grain,22,2023-07
europe,22,2023-07
actors,21,2023-07
fire,21,2023-07
does,21,2023-07
these,21,2023-07
state,21,2023-07
change,21,2023-07
high,21,2023-07
campaign,21,2023-07
found,21,2023-07
officials,21,2023-07
gets,21,2023-07
economy,21,2023-07
won,20,2023-07
history,20,2023-07
france,20,2023-07
open,20,2023-07
future,20,2023-07
2024,20,2023-07
bank,20,2023-07
never,20,2023-07
woman,20,2023-07
going,19,2023-07
amid,19,2023-07
john,19,2023-07
m,19,2023-07
b,19,2023-07
attack,19,2023-07
strikes,19,2023-07
work,19,2023-07
me,19,2023-07
hot,19,2023-07
water,19,2023-07
killed,19,2023-07
tour,19,2023-07
crisis,19,2023-07
beach,19,2023-07
north,18,2023-07
them,18,2023-07
much,18,2023-07
read,18,2023-07
go,18,2023-07
most,18,2023-07
texas,18,2023-07
been,18,2023-07
british,18,2023-07
end,17,2023-07
billion,17,2023-07
family,17,2023-07
affirmative,17,2023-07
10,17,2023-07
art,17,2023-07
republicans,17,2023-07
small,17,2023-07
shooting,17,2023-07
another,17,2023-07
weekend,17,2023-07
bid,17,2023-07
border,17,2023-07
admissions,17,2023-07
political,17,2023-07
doesn,17,2023-07
extreme,17,2023-07
power,17,2023-07
times,17,2023-07
000,17,2023-07
judicial,17,2023-07
oppenheimer,17,2023-07
making,16,2023-07
charges,16,2023-07
legacy,16,2023-07
wants,16,2023-07
early,16,2023-07
fight,16,2023-07
takes,16,2023-07
ukrainian,16,2023-07
race,16,2023-07
music,16,2023-07
israeli,16,2023-07
without,16,2023-07
five,16,2023-07
inside,16,2023-07
abortion,16,2023-07
student,16,2023-07
federal,16,2023-07
bill,16,2023-07
far,16,2023-07
law,16,2023-07
election,16,2023-07
legal,15,2023-07
run,15,2023-07
wagner,15,2023-07
ready,15,2023-07
country,15,2023-07
rules,15,2023-07
faces,15,2023-07
leaves,15,2023-07
government,15,2023-07
moment,15,2023-07
set,15,2023-07
death,15,2023-07
tech,15,2023-07
white,15,2023-07
three,15,2023-07
once,15,2023-07
fed,15,2023-07
trial,15,2023-07
episode,15,2023-07
us,15,2023-07
iowa,15,2023-07
behind,15,2023-07
gilgo,15,2023-07
books,14,2023-07
wave,14,2023-07
leader,14,2023-07
king,14,2023-07
child,14,2023-07
keep,14,2023-07
