word,count,date
trump,153,2023-04
biden,100,2023-04
york,83,2023-04
ukraine,77,2023-04
china,64,2023-04
briefing,60,2023-04
do,57,2023-04
court,55,2023-04
war,54,2023-04
they,53,2023-04
fox,51,2023-04
abortion,50,2023-04
case,48,2023-04
russia,48,2023-04
news,47,2023-04
house,47,2023-04
2023,46,2023-04
week,46,2023-04
april,45,2023-04
people,45,2023-04
world,43,2023-04
back,43,2023-04
man,42,2023-04
first,42,2023-04
city,40,2023-04
sudan,40,2023-04
desantis,39,2023-04
american,38,2023-04
spelling,37,2023-04
g,34,2023-04
russian,33,2023-04
time,33,2023-04
million,33,2023-04
power,32,2023-04
should,32,2023-04
than,31,2023-04
supreme,31,2023-04
judge,30,2023-04
quotation,30,2023-04
south,30,2023-04
wordle,30,2023-04
forum,30,2023-04
next,30,2023-04
dead,30,2023-04
b,30,2023-04
e,30,2023-04
art,30,2023-04
two,30,2023-04
top,29,2023-04
2024,29,2023-04
still,29,2023-04
season,29,2023-04
state,29,2023-04
corrections,29,2023-04
against,28,2023-04
plan,28,2023-04
where,27,2023-04
ban,27,2023-04
election,27,2023-04
california,27,2023-04
black,27,2023-04
down,26,2023-04
women,26,2023-04
law,25,2023-04
these,25,2023-04
media,25,2023-04
years,25,2023-04
death,25,2023-04
police,24,2023-04
find,24,2023-04
trial,24,2023-04
children,24,2023-04
military,24,2023-04
texas,24,2023-04
episode,24,2023-04
change,24,2023-04
documents,24,2023-04
leaked,24,2023-04
gets,23,2023-04
fire,23,2023-04
star,23,2023-04
run,22,2023-04
crisis,22,2023-04
work,22,2023-04
them,22,2023-04
republicans,22,2023-04
want,22,2023-04
shooting,22,2023-04
campaign,22,2023-04
end,22,2023-04
transgender,22,2023-04
wrong,22,2023-04
tucker,22,2023-04
carlson,22,2023-04
donald,21,2023-04
ukrainian,21,2023-04
last,21,2023-04
night,21,2023-04
democrats,21,2023-04
national,21,2023-04
face,21,2023-04
weekend,21,2023-04
recap,21,2023-04
m,21,2023-04
way,21,2023-04
most,21,2023-04
read,20,2023-04
tennessee,20,2023-04
inside,20,2023-04
before,20,2023-04
bank,20,2023-04
go,20,2023-04
charges,20,2023-04
high,20,2023-04
president,20,2023-04
music,20,2023-04
call,20,2023-04
family,20,2023-04
debt,20,2023-04
homes,20,2023-04
evening,20,2023-04
america,20,2023-04
officials,20,2023-04
other,20,2023-04
covid,20,2023-04
much,20,2023-04
behind,19,2023-04
deal,19,2023-04
peace,19,2023-04
young,19,2023-04
takes,19,2023-04
going,19,2023-04
food,19,2023-04
long,19,2023-04
000,19,2023-04
economy,19,2023-04
boston,19,2023-04
10,18,2023-04
health,18,2023-04
me,18,2023-04
fight,18,2023-04
times,18,2023-04
party,18,2023-04
center,18,2023-04
states,18,2023-04
justice,18,2023-04
charged,18,2023-04
history,18,2023-04
manhattan,18,2023-04
story,18,2023-04
pill,18,2023-04
once,17,2023-04
late,17,2023-04
indictment,17,2023-04
killed,17,2023-04
would,17,2023-04
wins,17,2023-04
made,17,2023-04
succession,17,2023-04
spring,17,2023-04
team,17,2023-04
makes,17,2023-04
florida,17,2023-04
lost,17,2023-04
pay,17,2023-04
better,17,2023-04
real,17,2023-04
office,16,2023-04
little,16,2023-04
tv,16,2023-04
found,16,2023-04
fighting,16,2023-04
white,16,2023-04
looks,16,2023-04
thomas,16,2023-04
twitter,16,2023-04
race,16,2023-04
plans,16,2023-04
settlement,16,2023-04
school,16,2023-04
rules,16,2023-04
ireland,16,2023-04
met,16,2023-04
artist,16,2023-04
killing,15,2023-04
care,15,2023-04
hard,15,2023-04
under,15,2023-04
another,15,2023-04
y,15,2023-04
masters,15,2023-04
signs,15,2023-04
own,15,2023-04
ex,15,2023-04
electric,15,2023-04
great,15,2023-04
former,15,2023-04
finds,15,2023-04
broadway,15,2023-04
market,15,2023-04
