word,count,date
gaza,147,2023-11
israel,146,2023-11
trump,135,2023-11
biden,103,2023-11
election,102,2023-11
war,100,2023-11
york,89,2023-11
hamas,86,2023-11
2023,65,2023-11
world,59,2023-11
thanksgiving,59,2023-11
first,57,2023-11
they,54,2023-11
do,51,2023-11
fire,51,2023-11
city,49,2023-11
house,48,2023-11
court,47,2023-11
climate,46,2023-11
china,45,2023-11
time,45,2023-11
briefing,43,2023-11
state,41,2023-11
two,41,2023-11
nov,40,2023-11
back,40,2023-11
million,39,2023-11
hostages,39,2023-11
man,38,2023-11
israeli,38,2023-11
case,37,2023-11
hospital,36,2023-11
ukraine,36,2023-11
trial,34,2023-11
where,34,2023-11
democrats,34,2023-11
times,34,2023-11
spelling,33,2023-11
palestinian,33,2023-11
years,33,2023-11
debate,33,2023-11
family,32,2023-11
america,32,2023-11
connections,31,2023-11
people,31,2023-11
deal,30,2023-11
forum,30,2023-11
companion,30,2023-11
wordle,30,2023-11
women,30,2023-11
still,30,2023-11
american,30,2023-11
corrections,29,2023-11
against,29,2023-11
g,29,2023-11
down,29,2023-11
cease,29,2023-11
openai,29,2023-11
need,28,2023-11
dead,28,2023-11
supreme,28,2023-11
death,28,2023-11
quotation,28,2023-11
republican,28,2023-11
these,27,2023-11
abortion,27,2023-11
sam,27,2023-11
week,27,2023-11
texas,27,2023-11
long,26,2023-11
art,26,2023-11
judge,26,2023-11
haley,26,2023-11
night,26,2023-11
officials,26,2023-11
many,25,2023-11
music,25,2023-11
voters,25,2023-11
than,24,2023-11
10,24,2023-11
black,24,2023-11
e,23,2023-11
attack,23,2023-11
2024,23,2023-11
help,23,2023-11
000,23,2023-11
watch,22,2023-11
story,22,2023-11
school,22,2023-11
crisis,22,2023-11
does,22,2023-11
work,22,2023-11
news,22,2023-11
campaign,22,2023-11
race,22,2023-11
west,22,2023-11
rights,22,2023-11
young,21,2023-11
republicans,21,2023-11
want,21,2023-11
power,21,2023-11
shows,21,2023-11
change,21,2023-11
own,21,2023-11
going,21,2023-11
california,21,2023-11
star,21,2023-11
season,21,2023-11
homes,20,2023-11
workers,20,2023-11
russia,20,2023-11
amid,20,2023-11
top,20,2023-11
much,20,2023-11
behind,20,2023-11
most,20,2023-11
history,20,2023-11
mayor,20,2023-11
five,19,2023-11
faces,19,2023-11
future,19,2023-11
families,19,2023-11
tv,19,2023-11
b,19,2023-11
question,19,2023-11
before,19,2023-11
takes,19,2023-11
poll,19,2023-11
books,19,2023-11
hostage,19,2023-11
other,19,2023-11
president,19,2023-11
next,19,2023-11
released,19,2023-11
desantis,18,2023-11
go,18,2023-11
south,18,2023-11
antisemitism,18,2023-11
health,18,2023-11
wants,18,2023-11
strike,18,2023-11
inside,18,2023-11
party,18,2023-11
police,18,2023-11
care,18,2023-11
taylor,18,2023-11
federal,18,2023-11
political,18,2023-11
pro,18,2023-11
ohio,18,2023-11
killed,18,2023-11
m,18,2023-11
bank,18,2023-11
former,18,2023-11
border,18,2023-11
food,18,2023-11
xi,18,2023-11
altman,18,2023-11
woman,17,2023-11
leaders,17,2023-11
through,17,2023-11
fund,17,2023-11
really,17,2023-11
johnson,17,2023-11
white,17,2023-11
left,17,2023-11
kids,17,2023-11
them,17,2023-11
free,17,2023-11
should,17,2023-11
won,17,2023-11
holiday,17,2023-11
close,17,2023-11
battle,17,2023-11
economy,17,2023-11
murder,17,2023-11
would,17,2023-11
high,17,2023-11
friday,17,2023-11
rise,16,2023-11
gets,16,2023-11
marathon,16,2023-11
way,16,2023-11
y,16,2023-11
face,16,2023-11
found,16,2023-11
rules,16,2023-11
david,16,2023-11
nikki,16,2023-11
law,16,2023-11
become,16,2023-11
under,16,2023-11
summit,16,2023-11
near,16,2023-11
another,16,2023-11
plan,16,2023-11
proposition,16,2023-11
accused,15,2023-11
fraud,15,2023-11
read,15,2023-11
