word,count,date
covid,1976,2023-03
19,1954,2023-03
track,1951,2023-03
county,1832,2023-03
texas,172,2023-03
trump,133,2023-03
virginia,130,2023-03
north,111,2023-03
georgia,109,2023-03
carolina,97,2023-03
ukraine,95,2023-03
york,92,2023-03
bank,90,2023-03
california,82,2023-03
biden,79,2023-03
south,78,2023-03
kentucky,74,2023-03
ohio,73,2023-03
do,72,2023-03
dakota,72,2023-03
kansas,70,2023-03
iowa,69,2023-03
tennessee,68,2023-03
war,68,2023-03
briefing,65,2023-03
missouri,65,2023-03
illinois,63,2023-03
china,62,2023-03
minnesota,61,2023-03
they,59,2023-03
indiana,59,2023-03
wisconsin,58,2023-03
nebraska,58,2023-03
mississippi,58,2023-03
west,56,2023-03
march,55,2023-03
washington,55,2023-03
michigan,55,2023-03
arkansas,55,2023-03
florida,54,2023-03
2023,53,2023-03
alabama,53,2023-03
world,52,2023-03
oklahoma,50,2023-03
russia,49,2023-03
first,48,2023-03
colorado,48,2023-03
pennsylvania,47,2023-03
louisiana,47,2023-03
time,46,2023-03
week,46,2023-03
valley,46,2023-03
parish,45,2023-03
season,44,2023-03
silicon,44,2023-03
years,43,2023-03
city,41,2023-03
two,41,2023-03
house,37,2023-03
tiktok,37,2023-03
black,37,2023-03
america,37,2023-03
crisis,37,2023-03
court,36,2023-03
down,36,2023-03
back,35,2023-03
mexico,35,2023-03
desantis,34,2023-03
israel,34,2023-03
spelling,33,2023-03
next,33,2023-03
montana,33,2023-03
where,32,2023-03
oscars,32,2023-03
american,32,2023-03
st,31,2023-03
forum,31,2023-03
should,31,2023-03
law,31,2023-03
b,31,2023-03
state,30,2023-03
plan,30,2023-03
family,30,2023-03
fed,30,2023-03
people,30,2023-03
g,30,2023-03
star,30,2023-03
women,30,2023-03
last,29,2023-03
corrections,29,2023-03
quotation,29,2023-03
president,29,2023-03
police,29,2023-03
help,29,2023-03
russian,29,2023-03
idaho,29,2023-03
million,28,2023-03
story,28,2023-03
man,27,2023-03
case,27,2023-03
deal,27,2023-03
e,27,2023-03
climate,27,2023-03
san,27,2023-03
republicans,26,2023-03
these,26,2023-03
indictment,26,2023-03
us,25,2023-03
art,25,2023-03
school,25,2023-03
france,25,2023-03
dead,25,2023-03
oregon,25,2023-03
banking,25,2023-03
banks,25,2023-03
news,24,2023-03
work,24,2023-03
still,24,2023-03
abortion,24,2023-03
ukrainian,24,2023-03
utah,24,2023-03
another,24,2023-03
protests,24,2023-03
against,23,2023-03
faces,23,2023-03
fox,23,2023-03
them,23,2023-03
books,23,2023-03
former,23,2023-03
go,23,2023-03
wants,23,2023-03
face,23,2023-03
judge,23,2023-03
spring,23,2023-03
putin,23,2023-03
look,22,2023-03
want,22,2023-03
ban,22,2023-03
shows,22,2023-03
jefferson,22,2023-03
finds,21,2023-03
care,21,2023-03
homes,21,2023-03
me,21,2023-03
college,21,2023-03
use,21,2023-03
find,21,2023-03
evening,21,2023-03
power,21,2023-03
future,21,2023-03
m,21,2023-03
top,20,2023-03
killed,20,2023-03
way,20,2023-03
gets,20,2023-03
three,20,2023-03
battle,20,2023-03
many,20,2023-03
change,20,2023-03
trial,20,2023-03
000,20,2023-03
history,20,2023-03
plans,20,2023-03
recap,20,2023-03
long,20,2023-03
own,20,2023-03
john,20,2023-03
through,20,2023-03
weekend,20,2023-03
than,20,2023-03
read,20,2023-03
much,20,2023-03
death,19,2023-03
would,19,2023-03
10,19,2023-03
y,19,2023-03
music,19,2023-03
party,19,2023-03
night,19,2023-03
before,19,2023-03
jersey,19,2023-03
xi,19,2023-03
inside,19,2023-03
race,19,2023-03
lincoln,19,2023-03
wyoming,19,2023-03
political,18,2023-03
visit,18,2023-03
train,18,2023-03
woman,18,2023-03
other,18,2023-03
going,18,2023-03
little,18,2023-03
bakhmut,18,2023-03
pay,18,2023-03
most,18,2023-03
four,18,2023-03
union,18,2023-03
fight,18,2023-03
won,18,2023-03
