word,count,date
trump,174,2023-06
york,87,2023-06
biden,80,2023-06
ukraine,77,2023-06
court,70,2023-06
case,60,2023-06
they,57,2023-06
russia,56,2023-06
do,53,2023-06
city,53,2023-06
man,52,2023-06
america,50,2023-06
2023,47,2023-06
china,47,2023-06
world,47,2023-06
june,46,2023-06
summer,45,2023-06
deal,44,2023-06
g,44,2023-06
briefing,43,2023-06
spelling,43,2023-06
news,42,2023-06
supreme,42,2023-06
first,41,2023-06
top,40,2023-06
smoke,40,2023-06
against,39,2023-06
b,39,2023-06
time,37,2023-06
judge,37,2023-06
dead,36,2023-06
russian,35,2023-06
house,35,2023-06
week,35,2023-06
forum,34,2023-06
california,34,2023-06
air,34,2023-06
war,34,2023-06
american,34,2023-06
where,33,2023-06
than,32,2023-06
black,32,2023-06
police,32,2023-06
two,32,2023-06
putin,32,2023-06
wordle,31,2023-06
million,31,2023-06
heat,31,2023-06
people,30,2023-06
documents,30,2023-06
debt,29,2023-06
school,29,2023-06
indictment,29,2023-06
back,29,2023-06
corrections,28,2023-06
desantis,28,2023-06
action,28,2023-06
power,28,2023-06
quotation,27,2023-06
charges,27,2023-06
end,27,2023-06
india,27,2023-06
saudi,27,2023-06
these,27,2023-06
death,26,2023-06
work,26,2023-06
down,26,2023-06
them,25,2023-06
y,25,2023-06
state,25,2023-06
tour,25,2023-06
climate,24,2023-06
open,24,2023-06
trial,24,2023-06
shows,24,2023-06
still,24,2023-06
read,24,2023-06
texas,23,2023-06
law,23,2023-06
way,23,2023-06
behind,23,2023-06
homes,23,2023-06
years,23,2023-06
change,23,2023-06
long,23,2023-06
golf,23,2023-06
high,22,2023-06
books,22,2023-06
through,22,2023-06
care,22,2023-06
woman,22,2023-06
last,22,2023-06
affirmative,22,2023-06
wildfire,22,2023-06
another,21,2023-06
e,21,2023-06
lost,21,2023-06
father,21,2023-06
inflation,21,2023-06
does,21,2023-06
story,21,2023-06
florida,21,2023-06
walk,21,2023-06
us,21,2023-06
go,21,2023-06
much,20,2023-06
watch,20,2023-06
south,20,2023-06
win,20,2023-06
run,20,2023-06
women,20,2023-06
should,20,2023-06
season,20,2023-06
officials,20,2023-06
chief,20,2023-06
election,20,2023-06
dam,20,2023-06
fight,19,2023-06
pride,19,2023-06
abortion,19,2023-06
would,19,2023-06
men,19,2023-06
wants,19,2023-06
takes,19,2023-06
won,19,2023-06
water,19,2023-06
art,19,2023-06
times,19,2023-06
three,19,2023-06
star,19,2023-06
justice,19,2023-06
tv,19,2023-06
missing,19,2023-06
explains,19,2023-06
wagner,19,2023-06
attack,18,2023-06
m,18,2023-06
french,18,2023-06
weekend,18,2023-06
find,18,2023-06
help,18,2023-06
next,18,2023-06
only,18,2023-06
face,18,2023-06
use,18,2023-06
charged,18,2023-06
before,18,2023-06
titanic,18,2023-06
submersible,18,2023-06
titan,18,2023-06
modi,18,2023-06
made,17,2023-06
other,17,2023-06
most,17,2023-06
q,17,2023-06
democrats,17,2023-06
want,17,2023-06
race,17,2023-06
even,17,2023-06
children,17,2023-06
report,17,2023-06
west,17,2023-06
federal,16,2023-06
family,16,2023-06
leader,16,2023-06
national,16,2023-06
many,16,2023-06
2024,16,2023-06
lives,16,2023-06
problem,16,2023-06
moves,16,2023-06
killed,16,2023-06
hard,16,2023-06
john,16,2023-06
counteroffensive,16,2023-06
blinken,16,2023-06
age,16,2023-06
crisis,16,2023-06
music,16,2023-06
pga,16,2023-06
mccarthy,15,2023-06
rules,15,2023-06
far,15,2023-06
nato,15,2023-06
leaders,15,2023-06
health,15,2023-06
inquiry,15,2023-06
prince,15,2023-06
gets,15,2023-06
11,15,2023-06
things,15,2023-06
job,15,2023-06
fed,15,2023-06
amid,15,2023-06
five,15,2023-06
reading,15,2023-06
president,15,2023-06
history,15,2023-06
10,15,2023-06
republicans,15,2023-06
