word,count,date
biden,122,2023-09
trump,104,2023-09
york,100,2023-09
ukraine,78,2023-09
china,67,2023-09
do,62,2023-09
2023,58,2023-09
they,56,2023-09
city,54,2023-09
sept,52,2023-09
top,49,2023-09
climate,46,2023-09
power,45,2023-09
week,45,2023-09
world,45,2023-09
back,44,2023-09
case,44,2023-09
house,44,2023-09
man,43,2023-09
g,43,2023-09
fall,42,2023-09
russia,41,2023-09
briefing,41,2023-09
where,41,2023-09
strike,41,2023-09
time,40,2023-09
news,39,2023-09
spelling,38,2023-09
shutdown,38,2023-09
trial,38,2023-09
two,36,2023-09
court,36,2023-09
first,36,2023-09
american,35,2023-09
against,35,2023-09
crisis,34,2023-09
work,34,2023-09
death,34,2023-09
debate,34,2023-09
open,33,2023-09
million,33,2023-09
black,33,2023-09
want,33,2023-09
art,33,2023-09
judge,33,2023-09
care,33,2023-09
forum,32,2023-09
war,32,2023-09
2024,32,2023-09
000,31,2023-09
quotation,30,2023-09
women,30,2023-09
wordle,30,2023-09
republican,30,2023-09
america,30,2023-09
next,30,2023-09
corrections,29,2023-09
california,29,2023-09
dead,29,2023-09
help,28,2023-09
people,28,2023-09
state,28,2023-09
fire,28,2023-09
down,28,2023-09
executive,28,2023-09
police,27,2023-09
e,27,2023-09
still,27,2023-09
fashion,27,2023-09
should,27,2023-09
y,27,2023-09
india,27,2023-09
deal,27,2023-09
homes,27,2023-09
years,26,2023-09
found,26,2023-09
other,26,2023-09
officials,25,2023-09
way,25,2023-09
russian,25,2023-09
them,25,2023-09
tv,25,2023-09
season,25,2023-09
migrants,25,2023-09
school,24,2023-09
history,24,2023-09
texas,24,2023-09
summer,24,2023-09
second,24,2023-09
most,24,2023-09
desantis,23,2023-09
pennsylvania,23,2023-09
these,23,2023-09
college,23,2023-09
go,23,2023-09
election,23,2023-09
google,23,2023-09
mccarthy,23,2023-09
prison,22,2023-09
fight,22,2023-09
south,22,2023-09
read,22,2023-09
politics,22,2023-09
us,22,2023-09
covid,22,2023-09
men,22,2023-09
republicans,22,2023-09
senate,22,2023-09
survey,22,2023-09
menendez,22,2023-09
music,21,2023-09
strikes,21,2023-09
books,21,2023-09
meet,21,2023-09
free,21,2023-09
amid,21,2023-09
end,21,2023-09
does,21,2023-09
canada,21,2023-09
line,21,2023-09
going,21,2023-09
libya,21,2023-09
making,20,2023-09
space,20,2023-09
film,20,2023-09
three,20,2023-09
change,20,2023-09
writers,20,2023-09
zelensky,20,2023-09
gets,20,2023-09
morocco,20,2023-09
sea,20,2023-09
workers,19,2023-09
abortion,19,2023-09
11,19,2023-09
washington,19,2023-09
try,18,2023-09
former,18,2023-09
m,18,2023-09
coming,18,2023-09
own,18,2023-09
race,18,2023-09
military,18,2023-09
call,18,2023-09
leader,18,2023-09
much,18,2023-09
w,18,2023-09
high,17,2023-09
story,17,2023-09
latest,17,2023-09
future,17,2023-09
made,17,2023-09
far,17,2023-09
times,17,2023-09
away,17,2023-09
takes,17,2023-09
long,17,2023-09
federal,17,2023-09
child,17,2023-09
charges,17,2023-09
migrant,17,2023-09
bill,17,2023-09
shows,17,2023-09
students,17,2023-09
impeachment,17,2023-09
auto,17,2023-09
money,17,2023-09
president,17,2023-09
billion,17,2023-09
government,17,2023-09
museum,16,2023-09
being,16,2023-09
return,16,2023-09
behind,16,2023-09
wall,16,2023-09
many,16,2023-09
killed,16,2023-09
better,16,2023-09
use,16,2023-09
health,16,2023-09
than,16,2023-09
video,16,2023-09
florida,16,2023-09
island,16,2023-09
10,16,2023-09
stop,16,2023-09
democrats,16,2023-09
young,16,2023-09
through,16,2023-09
fraud,16,2023-09
got,15,2023-09
public,15,2023-09
really,15,2023-09
another,15,2023-09
isn,15,2023-09
ban,15,2023-09
book,15,2023-09
movies,15,2023-09
before,15,2023-09
pay,15,2023-09
